RegionID,RegionName,City,Region,State,Metro,CountyName,SizeRank,2019-10
96956,92624,Dana Point,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,6256,759900
96129,90293,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,4547,757300
97867,94923,Bodega Bay,West,CA,Santa Rosa,Sonoma County,8524,757300
96982,92672,San Clemente,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,1093,757000
72452,33149,Key Biscayne,South,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,4544,756200
96122,90275,Rancho Palos Verdes,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1209,754500
97940,95035,Milpitas,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,192,752600
98203,95442,Glen Ellen,West,CA,Santa Rosa,Sonoma County,7601,751900
97952,95051,Santa Clara,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,220,750800
97915,95003,Aptos,West,CA,Santa Cruz-Watsonville,Santa Cruz County,2946,750400
60545,7030,Hoboken,Northeast,NJ,New York-Newark-Jersey City,Hudson County,33,750000
96278,91024,Sierra Madre,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5416,749100
58654,2140,Cambridge,Northeast,MA,Boston-Cambridge-Newton,Middlesex County,3214,746900
99565,98105,Seattle,West,WA,Seattle-Tacoma-Bellevue,King County,688,746600
97734,94526,Danville,West,CA,San Francisco-Oakland-Hayward,Contra Costa County,2039,746200
58757,2445,Brookline,Northeast,MA,Boston-Cambridge-Newton,Norfolk County,3826,742700
97746,94539,Fremont,West,CA,San Francisco-Oakland-Hayward,Alameda County,987,742300
98893,96756,Koloa,West,HI,Kapaa,Kauai County,6641,739800
96966,92648,Huntington Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,365,739500
99624,98199,Seattle,West,WA,Seattle-Tacoma-Bellevue,King County,3337,739200
97978,95110,San Jose,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4556,737200
